fault_id,detected,triggered_monitors
US101_V0809_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0809_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0809_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0809_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0810_T1118847204100__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0810_T1118847204100__SPEED_BIAS,True,speed_disagreement
US101_V0810_T1118847204100__POSITION_STEP,True,position_innovation
US101_V0810_T1118847204100__SPEED_FREEZE,True,speed_freeze
US101_V0810_T1118847204100__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0811_T1118847205400__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0811_T1118847205400__SPEED_BIAS,True,speed_disagreement
US101_V0811_T1118847205400__POSITION_STEP,True,position_innovation
US101_V0811_T1118847205400__SPEED_FREEZE,True,speed_freeze
US101_V0811_T1118847205400__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0812_T1118847204800__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0812_T1118847204800__SPEED_BIAS,True,speed_disagreement
US101_V0812_T1118847204800__POSITION_STEP,True,position_innovation
US101_V0812_T1118847204800__SPEED_FREEZE,True,speed_freeze
US101_V0812_T1118847204800__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0813_T1118847205400__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0813_T1118847205400__SPEED_BIAS,True,speed_disagreement
US101_V0813_T1118847205400__POSITION_STEP,True,position_innovation
US101_V0813_T1118847205400__SPEED_FREEZE,True,speed_freeze
US101_V0813_T1118847205400__LEAD_SIGNAL_LOSS,True,lead_signal_loss
